,x,y,class,B8,B11
1,765311.0115,53054.2471,0,0.396100014,0.126174971
2,766468.7389,52967.04386,0,0.317600012,0.16446875
3,766129.3395,53895.05454,0,0.179700002,0.05213733
4,766138.1606,52984.12206,0,0.183899999,0.081251509
5,764956.7918,52604.74106,0,0.325700015,0.141426653
6,763757.8643,52593.67419,0,0.170599997,0.04528169
7,765998.3751,53892.0712,0,0.210299999,0.103551716
8,766458.4802,52759.98293,0,0.222399995,0.118292101
9,764845.0814,52650.89848,0,0.250999987,0.136344656
10,765843.6298,53810.52733,0,0.211899996,0.084364839
11,763882.8874,52217.087,0,0.3116,0.147812933
12,764771.4458,53336.17874,0,0.353700012,0.172208652
13,765303.2018,53074.9244,0,0.222000003,0.081558459
14,763733.1714,52556.64974,0,0.229000002,0.079355307
15,765237.1602,52690.55114,0,0.254999995,0.144790575
16,763876.5167,52184.09803,0,0.275400013,0.175073206
17,764699.65,53675.78896,0,0.308899999,0.151153252
18,765986.739,53901.2511,0,0.37439999,0.180380344
19,766121.0789,52986.96902,0,0.192900002,0.082396671
20,765814.4341,53770.44468,0,0.231999993,0.110147126
21,765237.1177,51385.11276,0,0.356299996,0.175392553
22,764864.3554,52645.27578,0,0.354799986,0.188535094
23,765827.6755,53798.52113,0,0.185000002,0.072998196
24,763957.4421,53541.97498,0,0.299400002,0.160543889
25,765314.1828,53052.80271,0,0.396100014,0.126174971
26,765208.2796,52987.59621,0,0.228300005,0.141672209
27,766013.961,53882.06057,0,0.171499997,0.06186223
28,765301.5957,53080.86216,0,0.181299999,0.068971336
29,766105.851,52984.67792,0,0.248199999,0.118613236
30,763971.5732,52232.92673,0,0.257600009,0.143270463
31,766006.0917,53896.83574,0,0.185800001,0.067673959
32,763715.0271,52564.51164,0,0.160999998,0.066044353
33,763711.2404,52654.9129,0,0.298900008,0.13182275
34,765326.6221,53104.17969,0,0.234599993,0.078110702
35,763742.0526,52606.37758,0,0.177399993,0.054572221
36,765805.8115,53797.0851,0,0.181600004,0.067979038
37,766032.2871,53857.45106,0,0.312000006,0.128915101
38,766116.6058,53900.91894,0,0.243699998,0.10914699
39,763721.6636,52595.5069,0,0.171499997,0.05781427
40,765293.9288,53066.62461,0,0.377600014,0.130154237
41,765027.0191,52589.77405,0,0.317200005,0.176755354
42,763771.1723,52575.62275,0,0.172999993,0.050491571
43,763738.9564,52565.14961,0,0.162200004,0.040952634
44,765361.3182,53062.02909,0,0.244800001,0.083456539
45,766038.2456,53895.83967,0,0.180000007,0.070321061
46,765233.4293,52977.66033,0,0.258399993,0.150837064
47,764855.2428,51487.43418,0,0.261000007,0.126735747
48,765165.9316,52650.15017,0,0.230000004,0.140356943
49,765370.1474,52992.98556,0,0.522499979,0.185814992
50,765825.6973,52190.73771,0,0.404399991,0.223345116
51,763554.2045,52107.20389,0,0.237499997,0.150334805
52,766131.8894,52946.75261,0,0.304899991,0.10876812
53,766021.7973,53868.04781,0,0.210299999,0.075610198
54,766168.6809,53903.61565,0,0.25999999,0.154480487
55,765795.1333,53761.99104,0,0.254200011,0.111762092
56,765791.0976,53785.6886,0,0.175400004,0.066210479
57,763559.5943,52107.05552,0,0.237499997,0.150334805
58,765239.0704,53021.45699,0,0.264200002,0.149405643
59,763762.8455,52595.64723,0,0.195999995,0.067827761
60,765028.0601,52586.51307,0,0.317200005,0.176755354
61,765230.4169,51706.24817,0,0.255199999,0.166346595
62,766061.0322,53889.07042,0,0.175500005,0.071752638
63,766472.5813,52969.13811,0,0.361999989,0.164269984
64,765357.6512,53010.10323,0,0.483599991,0.1601969
65,765609.5643,52136.56928,0,0.351399988,0.202729955
66,763979.7909,52250.91471,0,0.329400003,0.160796076
67,764947.9415,52607.6035,0,0.391600013,0.163604409
68,765173.2805,52963.62741,0,0.281599998,0.14832899
69,764946.0337,52622.68062,0,0.228799999,0.110749371
70,765009.4411,53920.76038,0,0.271600008,0.133312121
71,765858.4435,53841.97145,0,0.260600001,0.10943909
72,764821.9133,51460.66089,0,0.256199986,0.10872288
73,766001.3468,53886.19899,0,0.177100003,0.064276889
74,764173.3186,51894.01954,0,0.290800005,0.161647096
75,765216.9218,52679.45896,0,0.201299995,0.117059298
76,765924.4771,53887.56526,0,0.209399998,0.104282849
77,763974.0978,52167.7941,0,0.323100001,0.264436573
78,766457.4504,52759.29613,0,0.222399995,0.118292101
79,766340.4185,51623.23018,0,0.354400009,0.212032944
80,765781.2242,53759.86111,0,0.298999995,0.159812629
81,763970.4089,53546.10843,0,0.318199992,0.17530781
82,763947.2036,53553.55054,0,0.337199986,0.198290348
83,763950.2244,54044.4553,0,0.344199985,0.172118783
84,766456.0385,52757.73265,0,0.222399995,0.118292101
85,766137.1449,52963.64883,0,0.183200002,0.086621225
86,763747.7702,52554.15708,0,0.2086,0.084244102
87,763974.8945,52260.01785,0,0.328799993,0.190274373
88,765802.6341,53767.69213,0,0.250400007,0.128250182
89,763701.5604,52552.99705,0,0.1954,0.083066359
90,763842.5807,52697.04351,0,0.27579999,0.167854697
91,765369.0418,53027.17368,0,0.456,0.154119194
92,765981.8002,53889.25191,0,0.220599994,0.102464356
93,765102.3566,52554.91404,0,0.26030001,0.106265992
94,763961.2398,53534.67928,0,0.322400004,0.172157124
95,766128.22,53884.2676,0,0.171599999,0.067679577
96,765871.1091,53868.49676,0,0.212099999,0.089753605
97,763763.0248,52610.7689,0,0.214200005,0.084138766
98,765995.1029,53864.2509,0,0.259799987,0.109291337
99,763818.9871,52709.13409,0,0.307799995,0.149494573
100,765354.2184,52995.42393,0,0.549600005,0.184571594
101,766117.4641,52984.98363,0,0.220200002,0.102379963
102,763999.957,52227.97247,0,0.283300012,0.194276467
103,763529.6846,52099.1471,0,0.337799996,0.262121409
104,764939.6979,52617.11928,0,0.379599988,0.165757835
105,765188.6838,52972.67012,0,0.226600006,0.112351924
106,765925.7972,53885.97638,0,0.209399998,0.104282849
107,765241.7895,52690.0851,0,0.269199997,0.156327739
108,765893.4584,53871.10702,0,0.180199996,0.073949598
109,763788.3703,52685.99058,0,0.3046,0.146516532
110,765206.2419,52984.00957,0,0.228300005,0.141672209
111,765249.5049,53005.32869,0,0.296799988,0.15466325
112,766135.3063,53872.16082,0,0.207399994,0.087670729
113,765202.7263,53010.89346,0,0.242599994,0.171845451
114,765232.1778,53027.97966,0,0.264200002,0.149405643
115,764891.9734,52650.15643,0,0.259299994,0.148680717
116,765157.2268,52632.68122,0,0.282400012,0.160955489
117,765983.6657,53884.12444,0,0.220599994,0.102464356
118,766014.3618,53888.45355,0,0.171499997,0.06186223
119,766168.9276,53027.55141,0,0.182899997,0.107397035
120,765845.5702,53811.77273,0,0.211899996,0.084364839
121,763718.6532,52583.79783,0,0.167899996,0.073697597
122,764695.0698,53683.77989,0,0.244200006,0.129492894
123,764864.6353,51453.73203,0,0.300999999,0.172776505
124,763710.5016,52580.17258,0,0.167899996,0.073697597
125,763968.7852,54048.47124,0,0.298999995,0.144516274
126,763707.5474,52563.25162,0,0.175999999,0.085522093
127,765187.4174,52978.60952,0,0.226600006,0.112351924
128,765330.9768,53107.1384,0,0.296299994,0.108212195
129,765183.2748,53005.37753,0,0.308800012,0.174071938
130,764210.1427,51869.46465,0,0.367000014,0.218250409
131,765325.9976,53079.43901,0,0.177300006,0.056134026
132,763542.3489,52000.4015,0,0.32980001,0.193753421
133,765232.3316,51719.17279,0,0.247199997,0.173487201
134,765168.4371,53029.69129,0,0.259600013,0.170472249
135,764841.3007,52645.35989,0,0.325399995,0.180583119
136,765373.6044,53024.13991,0,0.450700015,0.151278168
137,763859.6711,52176.88373,0,0.281199992,0.166572571
138,766141.0182,53873.48629,0,0.227799997,0.116335638
139,764946.6921,52616.81119,0,0.293599993,0.129985631
140,764870.6749,52647.65508,0,0.365700006,0.220235437
141,763881.6749,52222.99067,0,0.287200004,0.138982639
142,763556.8024,52878.46866,0,0.319999993,0.213616788
143,764844.5937,52644.95973,0,0.325399995,0.180583119
144,763743.8638,52593.51214,0,0.164499998,0.040743742
145,765842.9672,53815.59727,0,0.211899996,0.084364839
146,765840.5188,53822.82955,0,0.195999995,0.08966285
147,765213.2769,52682.50739,0,0.266600013,0.162401497
148,764972.892,52608.19504,0,0.256599993,0.123244129
149,765056.2698,52580.61768,0,0.220899999,0.126541972
150,765313.0316,53101.86607,0,0.202299997,0.088316858
151,763720.2362,52562.48787,0,0.164399996,0.049104702
152,764943.9457,52624.54703,0,0.228799999,0.110749371
153,765202.6758,52671.52772,0,0.237599999,0.144463629
154,765235.7311,52700.87861,0,0.280299991,0.169937089
155,764961.9042,52604.38415,0,0.283600003,0.130509719
156,765219.8125,53010.26426,0,0.351200014,0.1941991
157,766060.7669,53883.5916,0,0.175500005,0.071752638
158,763611.1433,53317.82082,0,0.346500009,0.187025011
159,766129.7519,52958.88296,0,0.266600013,0.106051095
160,763715.4487,52592.6402,0,0.193700001,0.101346791
161,765222.7433,52667.12038,0,0.273099989,0.138510704
162,763853.9146,52141.83027,0,0.305999994,0.171391949
163,763735.0055,52559.36415,0,0.229000002,0.079355307
164,765148.4355,52638.20596,0,0.321399987,0.18805328
165,765231.7636,52671.31748,0,0.256700009,0.128910854
166,766477.939,52959.7888,0,0.443199992,0.189534992
167,765356.5339,53008.82442,0,0.5176,0.17394428
168,765752.9013,53747.76956,0,0.326599985,0.172777817
169,763709.1989,52554.11691,0,0.1954,0.083066359
170,766168.7651,53005.92788,0,0.239600003,0.108832993
171,766136.4861,53875.34898,0,0.207399994,0.087670729
172,765326.272,53102.71782,0,0.234599993,0.078110702
173,766023.6672,53882.71894,0,0.172600001,0.06245245
174,763975.0085,53532.44147,0,0.307999998,0.170203418
175,766012.7303,53889.10067,0,0.171499997,0.06186223
176,765293.9264,53075.64545,0,0.338800013,0.126643434
177,765255.2478,51437.92562,0,0.374500006,0.176245734
178,763990.581,52241.86555,0,0.299299985,0.190427691
179,765372.1608,53039.97774,0,0.42840001,0.14389421
180,765187.0117,52663.04563,0,0.228400007,0.125672504
181,766024.2903,53867.33573,0,0.210299999,0.075610198
182,765913.8523,53885.28536,0,0.199599996,0.079504251
183,765891.9011,53883.03037,0,0.249699995,0.111277618
184,765348.0911,53067.8882,0,0.188299999,0.053988386
185,763751.3139,52553.31262,0,0.180099994,0.065393977
186,764850.9402,51428.1588,0,0.3565,0.207945958
187,765233.8485,52977.72812,0,0.258399993,0.150837064
188,765231.9931,52686.12433,0,0.256599993,0.140830263
189,765359.9592,53062.89067,0,0.193499997,0.061210189
190,763824.6788,52715.49241,0,0.256999999,0.135917872
191,764778.4067,53329.06057,0,0.430799991,0.187693641
192,766115.3278,53890.2375,0,0.184200004,0.076824434
193,766021.0863,53897.72926,0,0.174600005,0.067510106
194,765128.0851,52577.38157,0,0.321999997,0.162500918
195,763975.1013,52227.82784,0,0.27700001,0.169126257
196,764704.9491,53685.92009,0,0.270900011,0.130997151
197,765216.581,53015.7716,0,0.351200014,0.1941991
198,766148.732,52937.39593,0,0.278600007,0.119428769
199,765385.4256,51761.82953,0,0.219699994,0.157137856
200,766087.7913,53892.72931,0,0.188600004,0.095377244
201,765374.1656,53022.59908,0,0.450700015,0.151278168
202,763884.2081,52220.67283,0,0.287200004,0.138982639
203,765882.2977,53876.12018,0,0.220500007,0.092308745
204,763758.8047,52580.11566,0,0.161699995,0.037544407
205,763796.2947,52687.76249,0,0.257200003,0.119949289
206,765219.7078,52690.08093,0,0.358900011,0.231486514
207,766171.6614,53012.26517,0,0.248099998,0.123869702
208,765890.2087,53866.64353,0,0.173600003,0.073067591
209,766129.7564,52983.18707,0,0.192900002,0.082396671
210,765360.7279,53001.04872,0,0.493600011,0.168095991
211,766060.1428,53877.14554,0,0.185699999,0.078120366
212,765366.8788,53045.81383,0,0.335799992,0.113855667
213,765221.5382,52669.456,0,0.273099989,0.138510704
214,765254.0928,52985.0384,0,0.234899998,0.135948837
215,763778.2606,52601.98502,0,0.197300002,0.07600344
216,765348.1509,53061.4081,0,0.188299999,0.053988386
217,763960.1955,54048.85261,0,0.298999995,0.144516274
218,766012.2162,53902.46314,0,0.245000005,0.132331848
219,765062.2469,52587.81765,0,0.2086,0.123096906
220,765336.2387,53111.04415,0,0.332599998,0.140396953
221,763758.5494,52587.33101,0,0.161699995,0.037544407
222,766360.7286,51655.61042,0,0.328000009,0.253880024
223,765236.5827,51706.34973,0,0.255199999,0.166346595
224,766152.7548,53009.78172,0,0.195800006,0.090083092
225,765151.5171,52598.91104,0,0.298900008,0.14943324
226,763761.8063,52568.66947,0,0.169400007,0.052446388
227,763996.9015,54059.62768,0,0.313800007,0.138898775
228,765986.33,53883.69586,0,0.220599994,0.102464356
229,763957.0251,53547.17973,0,0.299400002,0.160543889
230,765928.9251,53888.02041,0,0.209399998,0.104282849
231,765284.4554,53088.62744,0,0.41960001,0.170794383
232,763957.3633,52223.89371,0,0.286799997,0.140074626
233,763911.1929,52151.16813,0,0.306400001,0.219390601
234,765201.6053,52991.06488,0,0.252600014,0.151571095
235,765054.0365,52583.58294,0,0.220899999,0.126541972
236,766080.144,53890.07684,0,0.188600004,0.095377244
237,766108.8483,53886.64869,0,0.240600005,0.124307603
238,765344.0889,53096.88855,0,0.249400005,0.086064287
239,765893.5415,53856.81763,0,0.192399994,0.081768535
240,765855.4534,53851.08297,0,0.331800014,0.132941201
241,765830.3741,53798.42345,0,0.249799997,0.097068541
242,765188.1217,52979.04848,0,0.226600006,0.112351924
243,764221.8824,53325.81581,0,0.323599994,0.218855962
244,765015.4775,52592.5664,0,0.3222,0.169542208
245,765197.725,52666.30087,0,0.208000004,0.114871562
246,765214.5597,52681.35744,0,0.266600013,0.162401497
247,765361.7014,53059.39641,0,0.257999986,0.094594225
248,766105.2128,53888.06661,0,0.240600005,0.124307603
249,765203.5421,53016.6762,0,0.242599994,0.171845451
250,764997.9333,52597.90782,0,0.323599994,0.140310869
251,765310.808,53084.40648,0,0.181600004,0.060521893
252,765206.029,52966.25626,0,0.347799987,0.168801099
253,763911.5244,52150.66681,0,0.306400001,0.219390601
254,765162.306,52641.1171,0,0.210999995,0.123534091
255,765341.0145,53051.25176,0,0.236599997,0.073916167
256,763711.0765,52274.89333,0,0.342200011,0.19151172
257,763748.3615,52559.0482,0,0.2086,0.084244102
258,765782.0131,53770.4664,0,0.183799997,0.067105785
259,764843.0736,52645.9848,0,0.325399995,0.180583119
260,765210.9178,52679.46718,0,0.201299995,0.117059298
261,766081.7556,53881.66542,0,0.230499998,0.117986791
262,764017.0143,54067.16731,0,0.293900013,0.147014156
263,763718.4657,52671.75463,0,0.262199998,0.163939759
264,765989.5162,53895.99599,0,0.257200003,0.123446107
265,764781.1742,51462.915,0,0.279399991,0.146435618
266,764846.6471,52645.54929,0,0.325399995,0.180583119
267,766071.8298,53896.48026,0,0.186000004,0.088611446
268,764809.4784,51477.13042,0,0.278699994,0.114593051
269,765329.1416,53103.03635,0,0.234599993,0.078110702
270,765917.8064,53861.96181,0,0.197099999,0.08104293
271,766057.4419,53878.69097,0,0.169699997,0.068463683
272,765323.0446,53072.2296,0,0.177300006,0.056134026
273,765182.6275,52661.07452,0,0.228400007,0.125672504
274,765989.1064,53866.19648,0,0.334600002,0.152993053
275,766004.4036,53871.15321,0,0.165999994,0.062656388
276,765330.2674,53099.28477,0,0.252200007,0.071243308
277,765355.1637,53018.70334,0,0.483599991,0.1601969
278,765041.7617,52594.64447,0,0.227400005,0.127842903
279,765203.8312,52674.21476,0,0.237599999,0.144463629
280,763858.0997,52129.51034,0,0.326400012,0.182582334
281,766105.6606,53876.729,0,0.273600012,0.141515106
282,763748.2069,52610.14798,0,0.227799997,0.089316964
283,765174.3526,52659.51532,0,0.202199996,0.119920038
284,763543.9116,52868.53565,0,0.402999997,0.378627837
285,763714.8847,52594.88681,0,0.193700001,0.101346791
286,764848.8739,51481.95185,0,0.231099993,0.115645058
287,766445.4161,52744.75394,0,0.284200013,0.150233969
288,763873.3306,52180.84998,0,0.275400013,0.175073206
289,764005.9419,54063.59562,0,0.288800001,0.141725421
290,765244.8625,51388.36611,0,0.35679999,0.174643576
291,765344.516,53000.68791,0,0.528800011,0.167252451
292,765988.4,53883.68177,0,0.220599994,0.102464356
293,763981.5386,53515.24326,0,0.365200013,0.210011616
294,763972.6301,52257.49353,0,0.329400003,0.160796076
295,765307.3631,53097.77452,0,0.187700003,0.06502264
296,765307.7824,53101.83301,0,0.222200006,0.101800963
297,765606.681,52142.86456,0,0.348100007,0.190267548
298,765836.4638,53802.38938,0,0.198100001,0.085620873
299,765242.1303,51722.08581,0,0.194299996,0.099003308
300,766037.0066,53859.3897,0,0.312000006,0.128915101
301,763700.8528,52577.9778,0,0.188299999,0.090180464
302,766454.6206,52738.07069,0,0.228200004,0.133191839
303,766048.2354,53858.9281,0,0.317000002,0.134600297
304,764819.1878,51467.35067,0,0.248400003,0.109840691
305,763988.3307,53529.84889,0,0.319200009,0.191425487
306,765770.225,53780.72506,0,0.191499993,0.078927875
307,763753.8287,52571.3802,0,0.161799997,0.043233346
308,763714.3107,52656.8667,0,0.298900008,0.13182275
309,764201.4691,53305.40237,0,0.314900011,0.20205009
310,765254.5452,53014.25561,0,0.376800001,0.158199862
311,766476.3448,52978.36059,0,0.239199996,0.124966882
312,765860.644,53839.33609,0,0.200100005,0.083009414
313,765008.5422,53926.75956,0,0.271600008,0.133312121
314,766053.8563,53870.57765,0,0.169699997,0.068463683
315,765233.2533,53017.75157,0,0.253399998,0.15253526
316,765781.2631,53778.92324,0,0.183799997,0.067105785
317,766004.1878,53865.77726,0,0.229800001,0.085644089
318,763556.397,52101.3865,0,0.237499997,0.150334805
319,766144.2728,53867.83048,0,0.309799999,0.172816366
320,764220.9152,53331.83014,0,0.341199994,0.228840694
321,765825.8573,52181.89758,0,0.420700014,0.219526112
322,765307.0421,53069.8488,0,0.340600014,0.109593235
323,765105.5039,52545.98424,0,0.263500005,0.111116186
324,763545.8431,52870.22368,0,0.317000002,0.24137643
325,765162.8302,52650.6244,0,0.230000004,0.140356943
326,763765.4926,52586.69757,0,0.166999996,0.045945447
327,765210.3381,52669.2008,0,0.2315,0.130261183
328,766085.8966,53885.22853,0,0.230499998,0.117986791
329,765813.7061,53774.05788,0,0.231999993,0.110147126
