Iterasi,Accuracy,Sensitivity,Specificity,AUC,Method,,,,,
1,83.71,83.79,91.91,86.52,SVM,,,,,
2,83.83,83.97,91.98,86.71,SVM,,,,,
3,84.21,84.32,92.16,87.00,SVM,,,,,
4,84.38,84.47,92.25,87.20,SVM,,,,,
5,84.00,84.11,92.06,86.72,SVM,,,,,
6,84.21,84.33,92.16,86.83,SVM,,,,,
7,84.42,84.51,92.25,87.10,SVM,,,,,
8,84.58,84.62,92.33,87.21,SVM,,,,,
9,84.00,84.10,92.06,86.87,SVM,,,,,
10,84.33,84.49,92.21,87.42,SVM,,,,,
11,83.58,83.71,91.88,86.54,SVM,,,,,
12,84.58,84.69,92.33,86.86,SVM,,,,,
13,83.96,84.06,92.03,86.80,SVM,,,,,
14,84.13,84.20,92.10,86.77,SVM,,,,,
15,84.13,84.18,92.13,86.83,SVM,,,,,
16,84.25,84.35,92.17,86.95,SVM,,,,,
17,84.75,84.84,92.42,87.13,SVM,,,,,
18,84.29,84.44,92.19,87.60,SVM,,,,,
19,84.00,84.07,92.05,86.70,SVM,,,,,
20,84.62,84.80,92.37,87.44,SVM,,,,,
21,84.33,84.43,92.21,87.24,SVM,,,,,
22,84.42,84.56,92.29,87.14,SVM,,,,,
23,83.96,84.03,92.03,86.65,SVM,,,,,
24,84.79,84.92,92.44,87.40,SVM,,,,,
25,84.04,84.13,92.07,86.94,SVM,,,,,
26,84.29,84.40,92.19,87.46,SVM,,,,,
27,84.25,84.31,92.15,87.24,SVM,,,,,
28,84.75,84.88,92.45,87.39,SVM,,,,,
29,84.38,84.48,92.23,87.14,SVM,,,,,
30,84.50,84.65,92.30,87.33,SVM,,,,,
31,84.75,84.80,92.43,87.23,SVM,,,,,
32,84.92,85.02,92.51,87.66,SVM,,,,,
33,84.00,84.10,92.05,86.67,SVM,,,,,
34,84.33,84.45,92.22,87.12,SVM,,,,,
35,84.58,84.69,92.35,87.25,SVM,,,,,
36,84.42,84.56,92.28,87.39,SVM,,,,,
37,84.25,84.38,92.19,87.14,SVM,,,,,
38,84.92,84.99,92.50,87.83,SVM,,,,,
39,84.17,84.20,92.13,86.62,SVM,,,,,
